Date,Open,High,Low,Close,Adj Close,Volume
04/5/1999,76,77.25,70,70.375,52.507099,22320900
05/5/1999,69.875,69.875,66.25,69.125,51.574448,7565700
06/5/1999,68,69.375,67.0625,67.9375,50.688473,2905700
07/5/1999,67.9375,74.875,66.75,74.125,55.304993,4862300
10/5/1999,73.375,73.5,70.25,70.6875,52.740234,2589400
11/5/1999,70,71.1875,69.5,70.625,52.693611,1839800
12/5/1999,71,74.875,69.125,73.5,54.838688,2659300
13/5/1999,73.25,75.25,72.5,73.1875,54.605534,1142900
14/5/1999,71.25,72.25,69.0625,70.1875,52.367241,2058400
17/5/1999,69.125,70.25,68,68.625,51.201408,2075000
18/5/1999,68.25,70.4375,68.125,68.625,51.201408,1407100
19/5/1999,69.375,69.8125,68.75,69.3125,51.714378,727400
20/5/1999,69.5625,70.125,68.375,68.375,51.014893,520800
21/5/1999,68.125,68.8125,67.5,67.5,50.362045,936200
24/5/1999,67,67.25,65,65.3125,48.729931,1493000
25/5/1999,64.125,65.9375,64,64.5,48.12373,1662400
26/5/1999,65.625,66.625,63.0625,66.0625,49.289516,1602900
27/5/1999,65,67.75,64.6875,67.75,50.548565,1220500
28/5/1999,67.75,68.8125,67,67.9375,50.688473,901900
01/6/1999,66.625,66.625,63.5625,64.1875,47.890594,953900
02/6/1999,63.75,64.0625,62,63.25,47.191097,2204300
03/6/1999,64,64.1875,63.125,63.625,47.470909,852600
04/6/1999,64.3125,67,64.3125,65.375,48.776592,1357400
07/6/1999,65.1875,67.75,65.1875,65.9375,49.196251,891900
08/6/1999,65.375,65.6875,63.75,63.75,47.564163,571700
09/6/1999,64.25,65.5,63.625,65.5,48.869839,611400
10/6/1999,64.875,64.9375,63.3125,63.375,47.284386,664200
11/6/1999,63.9375,64.3125,62.3125,63.25,47.191097,969300
14/6/1999,63.5,64,60.5,61.25,45.698891,821100
15/6/1999,62.875,63.375,62.25,62.75,46.818047,831700
16/6/1999,63.9375,65.4375,63.9375,65.25,48.683319,690300
17/6/1999,64.5,66.875,64.5,65,48.496803,955700
18/6/1999,64.25,64.875,63.5,64.8125,48.356888,613900
21/6/1999,66.6875,69.9375,66.5625,69.5,51.854225,1811000
22/6/1999,70.125,70.125,67.75,68,50.7351,1165900
23/6/1999,67.0625,67.4375,64.875,65,48.496803,1351700
24/6/1999,66.0625,66.5,64.5,65.0625,48.543427,1408900
25/6/1999,65.5,66.8125,65.375,66.25,49.42942,1111500
28/6/1999,66.4375,67.5,65.75,66.5625,49.662582,784600
29/6/1999,66,68.5,66,67.75,50.548565,629800
30/6/1999,68.5,72.25,66.125,72.25,53.906029,2127600
01/7/1999,71.375,71.4375,69.75,70.8125,52.833504,813600
02/7/1999,70.5625,71.1875,69.6875,70.9375,52.926769,536900
06/7/1999,70,71.1875,69.25,70.5,52.600353,747600
07/7/1999,69.5625,70,68,68,50.7351,648800
08/7/1999,68,68.875,67.1875,67.25,50.17551,424400
09/7/1999,67.4375,68.1875,67.25,67.25,50.17551,312700
12/7/1999,68,68.9375,67.875,68.375,51.014893,547700
13/7/1999,68.25,68.6875,67.625,67.875,50.641834,969600
14/7/1999,67.375,67.75,67.3125,67.625,50.455315,888200
15/7/1999,68,68,67.5,67.9375,50.688473,864700
16/7/1999,67.75,68.75,67.75,68.0625,50.781738,476700
19/7/1999,68.25,70.75,68.25,69.4375,51.807625,646100
20/7/1999,69.125,70.4375,67.875,68.125,50.828381,886100
21/7/1999,68,68.0625,67.125,67.875,50.641834,626100
22/7/1999,68.125,68.25,66.5,66.5,49.615921,579500
23/7/1999,66.375,66.375,64,64.0625,47.797318,767200
26/7/1999,64.25,64.75,63.1875,63.25,47.191097,749500
27/7/1999,64.25,65.75,63.3125,65.5,48.869839,592200
28/7/1999,65.25,66.375,64,66.0625,49.289516,584800
29/7/1999,65.5,65.5,64.5,65,48.496803,646000
30/7/1999,65,65,63.625,64.3125,47.983849,629600
02/8/1999,64.25,64.5625,62.375,62.8125,46.864685,566400
03/8/1999,62.8125,62.8125,60.75,60.8125,45.372463,837700
04/8/1999,60.5625,61.5,60,60,44.766262,1281600
